id,name,symbol,totalSupply,tradeCount,creatorRevenueETH,totalRevenueETH
0x00a5785ab774c45daa62824b460d972ec4e26d0a,CryptoNinja Yacht Club,CNPYC,461,18,0,0.004385
0x00a5f2f1682b358a23fb1c9ce04624a35b55c119,,,,1,0.00165,0.0044
0x00a7360fd4e4209d39ebbaf51b93a29dd93738e0,NODIE,,199,170,0.513790000000000002,0.738632500000000002
0x00a7c81a7a50212de4f5c0a7d4c0ed79229fefdd,Sekai,SEKAI,5000,63,0.0122439,0.015304875
0x00abdb2fbbc763b6b4a8700e10550ad74dac4d43,Bibiz,BIBIZ,6969,1355,2.335016100398960206,3.281157147644960203
0x00afaaa9635c9c40015ec31f3f2bb1b10c766e58,Probably Something Lifeboat Passes,LBOAT,63,394,3.378840583472222179,4.324804289340277709
0x00b218b99e563c6608f1021ca201ccd5b4f96d1d,Avium Founders' Pass,AFP,292,275,21.277458574086432088,28.179243292608040088
0x00b3636eea1f4c4fc2ff98bd8934d2874fc8da53,ButteredCat,BC,883,1,0.0001725,0.00023
0x00b3e138c6e4b233e5dded8cfed200f0c82b536c,The Boy who lost his mind Open Edition by Boss Logic,THEBOYWHOLOSTHISMINDOPENEDITIONBYBOSSLOGIC,,2,0.0138,0.01725
0x00b469e0703710c65db9af22e7451f4d4d2ffdee,Professors Mint Pass,PROFSPASS,,71,0.045135000000000001,0.056543750000000001
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9,MintersWorld,MTR,356,599,0.930898217000000055,1.735833564500000054
0x00bccea7a6c4c4ec74a8a07c982b95e59c1760aa,,,,9,0,0.0111385
0x00bf9fdb90cd726941244d82b90ce7bb237e7799,Broken Balloon Dog (BLUE) by Devotion,BBBD,,1,0,0.000012
0x00c2638d3e63bbedf204f16d46b866d6fd404364,mmoonstudios,mmoon,,1,0.000000000000000001,0.002500000000000001
0x00c30e9d200718837c0901fec7b1517c109b3bb9,UNCOMMON GALLERY x Baby Shark 2022 Stamp,UGBS2022,399,1,0.0000015,0.0000015
0x00c396383400a1ef2eb401052dbf5d989b2da481,Cypher City,CYPHER,8888,134,0.031105025000000009,0.056205847500000009
0x00c50293025e3dc7745650282d6451dca9dad737,DOGEDOGE,DOGEDOGE,2000,1977,3.584804744144335269,4.814789688869079927
0x00c6a7b65ae0bb8aeaefb5b68a35f6458439bb77,STEAMPUNK,STEAMPUNK,104,10,0,0.001
0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba,Prive OG,POG,606,148,0.413823500000000023,0.652630500000000023
0x00ca161a0b2277ecffc1a495c3b2980ed9909984,Mood Landscapes,MLAND,,140,0.01,0.045
0x00ccc5fe33fa66847082af413d4a8700cd7cde16,Wen Rug Pull,WENRUGPULL,2957,5,0,0.001105
0x00cdc65065248e046fbace13745c8e0a82593372,ButtPunks,BUTTS,2604,30,0.047669999995000001,0.075254999992500001
0x00ce2bdcea2dfbf66b082ad2119e893d407fb567,Grateful (Demo),GR8FLDMO,36,3,0.00599,0.00599
0x00ce538f93d76ba2abcbb12b51f71420fd0280ed,Little Wolf,LW,100,1,0.000000000000000001,0.000025000000000001
0x00cfc937b1e2e32a922c418ef5cc4bedb5c943ec,whaledrop,WPNFT,889,5,0.000615000000000001,0.001422500000000001
0x00cfd8a2ed2151bde14465beae4abf838eb1976a,Little Pixel Doods,Doods,,36,0.002705354938271606,0.012652007474922844
0x00d07c53e70338c376cf6ab2a5218d8643115084,Postereum 3,PEV3,822,19,0.000000000000000002,0.017050000000000002
0x00d1a09205bbd5a2ea35524afafb41aa2d5e423e,Proxcity,PRXCTY,1092,50,0.063645000000000006,0.096137500000000006
0x00d1f83ac925dd533adf791d08f92c6aca74bd91,Lifestory Planets,LIFV,440,229,4.917220798800000057,6.493436773500000054
0x00d63a58558f5e431b89984cea5a3a8ba7847e6a,NFT LAND by Satoshi’s Mom,NFTLAND,,1,0.000000000000000001,0.000500000000000001
0x00d67c871344f9f9a0fe5efaa0a4cdca71f05e6b,Weed Gang Presents,WGP,,9,0.000000000000000002,0.002292475000000002
0x00d98586f3af8e9652950f27e44694a880c39633,Saltyverse,SV,,15,0.008797500000000001,0.011855000000000001
0x00dad08dc49a45cefa4edc1f2cb000688e3ef1f3,Check Yourself,CHKUS,,6,0.000147,0.000147
0x00db41e6b9d4ebc983f2f8f6dd8fcca5ab2eaa38,Call to Meme,CTM,,46,0.000000000000000028,0.024583750000000028
0x00dca92b7fbd0c01f3508756718807836ec82156,Gotcha Gatcha,GG,154,625,0.815601282155551656,1.195854137680802397
0x00df307149490187ccdcbdb8ba4a376c2679aeff,Lionking Roar,LR,1830,19,0,0.043735
0x00e09f606202dbb5995b15d08a4df0efe6d05fa3,Doodle,DDL,1,1,0,0.005
0x00e10a98958700dcd23c2b5e8ad1bf98d52c439a,MetaApeSociety,MAS,100,1,0,0.0025
0x00e247a340364a05a0a7f6a951cf2dc6d6e82025,Lux3 APEX,APEX,373,1755,0.886152838207408401,1.221956422349339966
0x00e262ac0648b3478c0751afc6febeac320b1370,Probably Nothing Genesis NFT,OGPN,622,32,0.769210000000000007,0.984037500000000007
